ID,关键词,搜索量,关键词难度,CPC,竞争度,结果数量,趋势,趋势得分,商业价值,时间戳,SERP特性,关键词意图,位置类型,KWS,语言,创建时间,更新时间,用户状态,状态备注,状态更新时间
3047397,"how to beat 2048",1600,33,0.01,0,10,"13,29,29,19,13,19,7,13,13,16,5,5",-0.59,7,2025-09-15T00:00:00.000Z,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational","Organic",,"eng",2025-09-22T00:48:08.000Z,2025-09-29T17:33:38.000Z,,"",
3607584,"how to win 2048",1300,58,0.01,0,38000000,"16,29,29,16,12,16,12,12,12,16,10,8",-5.18,4,2025-09-17T00:00:00.000Z,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-28T17:41:56.000Z,,"",
3023947,"how to play 2048",590,67,,,160000000,"39,48,59,72,59,59,59,48,48,59,59,39",,,2025-09-04T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-18T09:36:12.000Z,2025-09-28T16:01:06.000Z,,"",
3023825,"how do you win the game 2048",590,53,0.01,,6760000,"36,45,30,45,20,24,10,45,36,100,62,36",14.71,,2025-08-30T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3023312,"how do i beat 2048",590,60,,,11700000,"24,20,30,36,13,24,8,20,36,100,81,30",23.02,,2025-09-05T00:00:00.000Z,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3023300,"how do you win 2048 game",590,60,0.01,,6790000,"36,45,30,45,20,24,10,45,36,100,62,36",14.71,,2025-09-06T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T01:34:29.000Z,,"",
3023637,"how to beat 2048 the game",480,51,,,4860000,"24,20,13,8,13,24,8,6,6,100,81,30",21.68,,2025-09-02T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023603,"how to win in 2048 game",480,45,0.01,,12200000,"36,45,13,16,20,24,10,6,6,100,62,36",,,2025-09-01T00:00:00.000Z,"Image pack, Video, Featured snippet, Image, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023470,"how do you win at 2048",480,58,0.01,,18100000,"36,45,13,16,20,24,10,6,6,100,62,36",,,2025-09-04T00:00:00.000Z,"Video, Image, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023436,"how do i win 2048",480,61,0.01,,19100000,"45,55,24,45,6,30,16,6,5,100,67,45",9.06,,2025-09-06T00:00:00.000Z,"Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3023339,"how do you win in 2048",480,58,0.01,,18300000,"36,45,13,16,20,24,10,6,6,100,62,36",12.81,,2025-08-30T00:00:00.000Z,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3597487,"how to win 2048 game",390,66,0.01,,13300000,"13,10,30,30,30,20,30,36,16,8,30,13",-0.26,,2025-08-25T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-29T17:33:38.000Z,,"",
3023732,"2048 game how to win",320,41,0.01,,13400000,"45,55,16,20,30,13,24,20,20,10,36,16",-9.71,,2025-09-09T00:00:00.000Z,"Sitelinks, Video, People also ask, Related searches, AI overview","informational","People also ask",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T01:34:29.000Z,,"",
3023399,"how do you play 2048",320,76,,,217000000,"81,66,66,66,81,100,66,18,54,54,54,54",,,2025-09-07T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023393,"how to play 2048 game",320,73,,,45400000,"54,66,66,66,81,81,66,66,81,81,81,66",,,2025-09-03T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3618302,"how to beat 2048 game",260,43,,,9270000,"30,16,13,30,24,30,36,16,8,13,36,16",-1.69,,2025-09-03T00:00:00.000Z,"Sitelinks, Video, Related searches","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-28T16:01:06.000Z,,"",
3023814,"how do i play 2048",260,76,,,82200000,"54,66,0,54,35,54,35,54,22,54,81,54",,,2025-08-20T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3601409,"how win 2048",210,61,0.01,,18100000,"10,45,13,0,20,24,10,6,6,5,20,0",-6.79,,2025-08-15T00:00:00.000Z,"Sitelinks, Video, Image, Related searches, AI overview","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-29T17:33:38.000Z,,"",
3023621,"how do you play 2048 game",210,82,,,35100000,"54,54,29,35,22,81,66,29,18,29,100,35",,,2025-08-30T00:00:00.000Z,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3024037,"2048 game how to play",170,68,,,64500000,"65,65,65,65,42,100,65,80,53,42,100,34",,,2025-08-27T00:00:00.000Z,"Sitelinks, Video, Featured snippet, People also ask, Related searches","informational","Organic",,"eng",2025-09-18T09:36:12.000Z,2025-09-28T16:01:06.000Z,,"",
3023761,"how to play the game 2048",170,68,,,44100000,"5,8,0,0,3,8,5,4,3,16,20,5",,,2025-09-03T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023493,"how to play game 2048",170,73,,,47500000,"34,34,34,34,34,43,34,34,34,65,53,100",,,2025-09-09T00:00:00.000Z,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023348,"how do you play the game 2048",170,77,,,26400000,"35,22,4,29,35,43,35,22,22,29,81,66",,,2025-08-30T00:00:00.000Z,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023345,"how play 2048",170,45,,,81700000,"44,54,0,0,15,35,23,18,18,23,66,54",,,2025-09-01T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3617002,"how to win at 2048",140,55,0.01,,31300000,"3,10,5,3,16,8,10,13,20,36,3,0",5.04,,2025-09-03T00:00:00.000Z,"Sitelinks, Video, Related searches","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-28T16:01:06.000Z,,"",
3023461,"how do you beat the game 2048",140,56,,,4600000,"10,10,16,10,5,16,10,6,3,13,8,13",-0.49,,2025-09-06T00:00:00.000Z,"Sitelinks, Video, Image, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3611057,"how do you win 2048",110,54,0.01,,33100000,"21,3,34,53,15,21,28,9,81,100,65,15",23.06,,2025-08-31T00:00:00.000Z,"Sitelinks, Video, Image, Related searches, AI overview","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-28T16:01:06.000Z,,"",
3024044,"how to get 2048",90,60,,,206000000,"8,8,18,18,11,11,11,18,18,23,23,11",,,2025-08-23T00:00:00.000Z,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:36:12.000Z,2025-09-28T16:01:06.000Z,,"",
3023625,"how to get 2048 in 2048",90,37,,,337000000,"50,35,78,64,50,50,50,64,50,100,78,50",11.11,,2025-09-11T00:00:00.000Z,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:56:35.000Z,,"",
3023573,"how to get 2048 in 2048 game",70,34,,,67500000,"50,35,50,64,35,50,35,64,64,78,35,50",,,2025-08-22T00:00:00.000Z,"Image pack, Sitelinks, Video, Image, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023780,"how to win 2048 game cheat",50,55,,,596000,"18,18,18,18,18,18,100,100,18,100,100,18",,,2025-08-27T00:00:00.000Z,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
825528,"how many years until 2048",40,10,0,0,86,"18,18,18,18,18,18,18,18,100,100,18,18",,,2025-08-28T00:00:00.000Z,"Instant answer, Video, Related searches","informational","Organic",-398.97,"eng",2025-09-04T01:23:15.000Z,2025-09-28T16:01:06.000Z,,"",